item_id,category,brand_score,price_score,quality_score,value
1,1,7,4,8,6.35
2,1,5,7,10,7.7
3,1,3,7,8,6.4
4,1,5,4,8,5.85
5,1,8,3,6,5.45
6,1,5,2,8,5.15
7,1,6,2,5,4.2
8,1,1,10,6,6.15
9,1,9,1,10,6.6
10,1,3,7,4,4.8
11,1,9,3,5,5.3
12,1,3,7,5,5.2
13,1,9,7,2,5.5
14,1,4,9,2,4.95
15,1,10,9,10,9.65
16,1,5,2,4,3.55
17,1,7,8,3,5.75
18,1,1,4,2,2.45
19,1,8,4,2,4.2
20,1,6,6,10,7.6
21,1,4,6,2,3.9
22,1,10,2,10,7.2
23,1,4,8,7,6.6
24,1,9,8,5,7.05
25,1,2,5,8,5.45
26,1,10,9,9,9.25
27,1,1,9,7,6.2
28,1,9,8,1,5.45
29,1,8,8,3,6
30,1,1,8,3,4.25
31,2,3,1,5,3.1
32,2,10,7,10,8.95
33,2,9,7,9,8.3
34,2,8,2,1,3.1
35,2,7,7,8,7.4
36,2,5,3,8,5.5
37,2,6,3,1,2.95
38,2,3,5,3,3.7
39,2,1,5,10,6
40,2,7,7,9,7.8
41,2,10,10,3,7.2
42,2,7,1,4,3.7
43,2,4,5,7,5.55
44,2,7,4,7,5.95
45,2,3,6,2,3.65
46,2,10,9,5,7.65
47,2,6,4,10,6.9
48,2,7,9,7,7.7
49,2,1,1,9,4.2
50,2,9,4,9,7.25
51,2,3,7,6,5.6
52,2,8,9,5,7.15
53,2,1,3,10,5.3
54,2,8,6,8,7.3
55,2,9,4,1,4.05
56,2,1,10,4,5.35
57,2,7,2,3,3.65
58,2,1,5,1,2.4
59,2,8,1,1,2.75
60,2,2,2,6,3.6
61,3,7,5,1,3.9
62,3,1,3,2,2.1
63,3,5,10,6,7.15
64,3,7,4,7,5.95
65,3,8,1,6,4.75
66,3,8,5,4,5.35
67,3,2,6,6,5
68,3,1,9,6,5.8
69,3,3,4,4,3.75
70,3,3,10,3,5.45
71,3,3,4,7,4.95
72,3,4,9,1,4.55
73,3,8,7,2,5.25
74,3,8,1,9,5.95
75,3,9,2,7,5.75
76,3,10,3,7,6.35
77,3,10,9,4,7.25
78,3,1,2,1,1.35
79,3,5,5,7,5.8
80,3,9,9,3,6.6
81,3,3,3,4,3.4
82,3,8,6,8,7.3
83,3,1,8,4,4.65
84,3,1,8,4,4.65
85,3,6,8,4,5.9
86,3,3,9,3,5.1
87,3,9,2,2,3.75
88,3,2,6,3,3.8
89,3,9,4,1,4.05
90,3,4,1,5,3.35
91,4,4,8,8,7
92,4,7,3,1,3.2
93,4,1,3,6,3.7
94,4,7,6,6,6.25
95,4,6,3,6,4.95
96,4,8,2,5,4.7
97,4,1,1,5,2.6
98,4,3,4,3,3.35
99,4,1,1,5,2.6
100,4,6,3,9,6.15
101,4,5,8,1,4.45
102,4,5,3,1,2.7
103,4,4,5,7,5.55
104,4,1,3,2,2.1
105,4,9,10,6,8.15
106,4,10,3,8,6.75
107,4,8,2,6,5.1
108,4,7,2,10,6.45
109,4,2,10,1,4.4
110,4,8,1,9,5.95
111,4,6,7,10,7.95
112,4,7,10,3,6.45
113,4,2,9,8,6.85
114,4,10,7,9,8.55
115,4,4,4,1,2.8
116,4,8,3,7,5.85
117,4,2,2,7,4
118,4,6,3,9,6.15
119,4,10,6,10,8.6
120,4,10,6,1,5
121,5,4,10,6,6.9
122,5,6,5,1,3.65
123,5,8,5,5,5.75
124,5,7,4,6,5.55
125,5,4,3,7,4.85
126,5,8,4,2,4.2
127,5,10,3,1,3.95
128,5,8,3,10,7.05
129,5,7,10,5,7.25
130,5,10,5,7,7.05
131,5,9,5,1,4.4
132,5,10,10,1,6.4
133,5,2,6,9,6.2
134,5,8,5,1,4.15
135,5,7,5,6,5.9
136,5,7,3,10,6.8
137,5,3,5,6,4.9
138,5,9,5,1,4.4
139,5,4,5,10,6.75
140,5,10,5,7,7.05
141,5,4,1,5,3.35
142,5,7,10,10,9.25
143,5,6,5,4,4.85
144,5,2,4,10,5.9
145,5,10,3,10,7.55
146,5,1,8,5,5.05
147,5,4,8,7,6.6
148,5,2,1,4,2.45
149,5,8,2,3,3.9
150,5,1,1,3,1.8
